,username,date,tweet,language,hashtags
1121,borisjohnson,2020-01-02,This is going to be a fantastic year for Britain.  https://t.co/dLQUVauCKg,en,[]
1120,borisjohnson,2020-01-06,Our hearts go out to all those in Australia affected by these devastating fires. I have been in touch with PM @ScottMorrisonMP to offer any assistance we can provide. We stand with you at this very difficult time. 🇬🇧🇦🇺,en,[]
1119,borisjohnson,2020-01-08,"Today I met with @vonderleyen. When we leave the EU on January 31st, we will negotiate a new free trade agreement with our European partners and continue to work together as friends and sovereign equals to tackle the world’s greatest challenges.  https://t.co/ahN6gYqIVn",en,[]
1118,borisjohnson,2020-01-10,This is a great step forwards for the people of Northern Ireland and for restoring public confidence in stable devolved Government and delivering much needed reforms to public services.,en,[]
1116,borisjohnson,2020-01-13,"There's a fantastic future for Northern Ireland as part of the United Kingdom, and we're here to support them.  https://t.co/9JkdyplwW3",en,[]
1117,borisjohnson,2020-01-13,RIP Sir Roger Scruton. We have lost the greatest modern conservative thinker - who not only had the guts to say what he thought but said it beautifully.,en,[]
1115,borisjohnson,2020-01-13,"Northern Ireland politicians have put aside their differences, stepped up to the plate and shown leadership.  https://t.co/CLpbqAZV7a",en,[]
1114,borisjohnson,2020-01-14,"Today I have written to Nicola Sturgeon. The Scottish people voted decisively to keep our United Kingdom together, a result which both the Scottish and UK Governments committed to respect.   Let's make 2020 a year of growth and opportunity for the whole of the UK 🇬🇧  https://t.co/JjQp3X2J2n",en,[]
1113,borisjohnson,2020-01-14,We will leave the EU on January 31st and build a great new partnership with our European friends.   Britain has a bright future ahead.  https://t.co/T4vggJi1l8,en,[]
1112,borisjohnson,2020-01-15,Today is the first step towards putting our record NHS funding commitment into law.  https://t.co/IXyhtub9SY,en,[]
1111,borisjohnson,2020-01-20,Today I hosted leaders and entrepreneurs at the UK-Africa Investment Summit in London #InvestInAfrica  https://t.co/pux2EokmB6,en,['investinafrica']
1110,borisjohnson,2020-01-22,🎙 Get ready for another #PeoplesPMQs at 5pm today!  💬 Send me your questions here:  https://t.co/4gBIkrPJHh  https://t.co/1KpndoISUV,en,['peoplespmqs']
1109,borisjohnson,2020-01-22,LIVE: I'm answering your questions from Downing Street  https://t.co/WoBwpJgjiV,en,[]
1108,borisjohnson,2020-01-22,Thank you for your questions. See you again next week #PeoplesPMQs  https://t.co/wc1uZhkaTg,en,['peoplespmqs']
1107,borisjohnson,2020-01-23,"We’re recruiting 20,000 more police and giving them the powers they need to tackle crime. #PeoplesPMQs  https://t.co/EgPqR0wtup",en,['peoplespmqs']
1106,borisjohnson,2020-01-23,The Withdrawal Agreement has received Royal Assent and is now law. We will leave the EU on January 31st 🇬🇧,en,[]
1105,borisjohnson,2020-01-24,"Today I have signed the Withdrawal Agreement for the UK to leave the EU on January 31st, honouring the democratic mandate of the British people.    This signature heralds a new chapter in our nation’s history.  https://t.co/IaGTeeL2is",en,[]
1104,borisjohnson,2020-01-24,"Seamus Mallon made an extraordinary contribution to democracy and peace in Northern Ireland. I want to express my sincere condolences to his daughter Orla, to his family and friends and to the SDLP.",en,[]
1103,borisjohnson,2020-01-26,"This Australia Day, I want all our Aussie friends to know that we Brits are thinking of you. Your resilience &amp; positive spirit has been an inspiration to us all.    Our two nations share a very special friendship that I hope will continue to strengthen. Happy Australia Day.",en,[]
1102,borisjohnson,2020-01-27,"I was truly honoured to meet Mala Tribich MBE and hear her story of surviving the horrors of the Holocaust.   We should all listen to her message, remember and commit ourselves to ensuring that this never happens again.  #HolocaustMemorialDay #WeRemember  https://t.co/wGdmJZR42J",en,"['holocaustmemorialday', 'weremember']"
1101,borisjohnson,2020-01-27,"As long as I am Prime Minister, I will never allow this country to forget what happened 75 years ago. I will do all I can to see that we continue to learn the lessons of the past.   #HolocaustRemembranceDay    https://t.co/wp7t49CPfr",en,['holocaustremembranceday']
1098,borisjohnson,2020-01-28,"🎙 Get ready for another #PeoplesPMQs, 5pm tomorrow night!  💬 Send me your questions here:   https://t.co/wr6740CPjj  https://t.co/orxegNtTyB",en,['peoplespmqs']
1097,borisjohnson,2020-01-28,“Will Brexit affect my holiday?”   I’ve answered some of your top searched questions about Brexit and what happens when we leave the EU on Friday.  https://t.co/3LelRgfFPb,en,[]
1100,borisjohnson,2020-01-28,"Fantastic to visit @kingsmathschool yesterday and meet with these bright students and their teachers.   We’re making an extra £300 million available for research into advanced mathematics, and will introduce a new fast track visa system to welcome more scientists to the UK.  https://t.co/uLF6dRmwlQ",en,[]
1099,borisjohnson,2020-01-28,"I’m delighted to hear @Sainsburys is leading the way for UK business by pledging to go carbon neutral, backed by significant investment. We must all work together to achieve Net Zero emissions.",en,[]
1096,borisjohnson,2020-01-29,I’m answering your questions live from Downing Street  https://t.co/Cu20XxEkaL,en,[]
