,username,date,tweet,language,hashtags
1446,emmanuelmacron,2020-01-03,"L’année s’ouvre endeuillée par le drame de Villejuif. J’adresse mon soutien aux victimes de l’attaque, à leurs familles ainsi qu’aux forces de l’ordre. Nous poursuivons avec détermination la lutte contre la violence aveugle et notre combat pour la sécurité de tous les Français.",fr,[]
1445,emmanuelmacron,2020-01-04,L’escalade des tensions au Moyen-Orient n’est pas une fatalité. La France a deux priorités que je partage avec l’ensemble des dirigeants concernés que je contacte : (1/2),fr,[]
1444,emmanuelmacron,2020-01-04,"la souveraineté et la sécurité de l’Irak, ainsi que la stabilité de la région ; la lutte contre le terrorisme de Daech. Rien ne doit nous détourner de ces objectifs. (2/2)",fr,[]
1443,emmanuelmacron,2020-01-05,"Solidarité avec le peuple australien face aux incendies qui ravagent leur pays. Ce matin, j’ai appelé @ScottMorrisonMP pour offrir notre aide opérationnelle immédiate pour lutter contre les feux, protéger la population et préserver la biodiversité.",fr,[]
1441,emmanuelmacron,2020-01-07,"Il y a cinq ans, l’horreur terroriste et le crime antisémite frappaient la République. Pensées pour toutes les victimes de Charlie Hebdo, de l’Hypercacher et pour les policiers lâchement assassinés. Solidarité avec leurs familles et leurs proches. Nous n’oublierons jamais.",fr,[]
1440,emmanuelmacron,2020-01-07,"Avec @AndrejPlenkovic, la Croatie prend la présidence du Conseil de l’UE : nous aurons à cœur de réinventer la relation avec le Royaume-Uni et traduire en actes le Green Deal. Nous partageons aussi la volonté de faire du Sommet de Zagreb sur les Balkans un succès pour l’Europe.  https://t.co/a6gTX3tK71",fr,[]
1436,emmanuelmacron,2020-01-10,Plastique : comment permettre au secteur de s’adapter ? On ne peut pas dire aux dizaines de milliers de citoyens qui travaillent dans ce secteur : « Ton travail n’existe plus parce qu’on interdit du jour au lendemain ».  https://t.co/6faTdj7jdJ,fr,[]
1439,emmanuelmacron,2020-01-10,EN DIRECT | Échanges avec les 150 membres de la Convention citoyenne pour le Climat.  https://t.co/d9S13gYXva,fr,[]
1438,emmanuelmacron,2020-01-10,"Les citoyens ont demandé plus de démocratie, ils ne veulent plus être simplement celles et ceux qui respectent les lois. Ils veulent participer. La Convention citoyenne pour le climat, c'est cela.",fr,[]
1437,emmanuelmacron,2020-01-10,"Je l’ai dit, le répète : on ne signera plus d’accords avec des puissances qui ne respectent pas l’Accord de Paris sur le climat.  https://t.co/QLc0BbSVn2",fr,[]
1435,emmanuelmacron,2020-01-11,Voilà en quelques mots comment je vois la justice sociale.  https://t.co/Qp7Czb8XBA,fr,[]
1434,emmanuelmacron,2020-01-12,Notre message est clair : nous restons attachés à l’accord sur le nucléaire iranien et appelons l'Iran à s'abstenir de toute nouvelle action violente ou de prolifération. Nous restons prêts à engager le dialogue avec l’Iran sur cette base pour préserver la stabilité de la région.,fr,[]
1432,emmanuelmacron,2020-01-13,"Ce Sommet de Pau est un moment important après ce que nos pays ont subi. Je veux avoir une pensée pour les civils, militaires français - nous en avons honorés aujourd’hui - et militaires du G5 Sahel tombés en luttant contre le djihadisme. Je sais le prix du sang versé par chacun.",fr,[]
1431,emmanuelmacron,2020-01-13,La France est engagée militairement au Sahel pour deux raisons :  https://t.co/58zQIrkB9z,fr,[]
1430,emmanuelmacron,2020-01-13,"J’ai décidé d’engager des capacités de combat supplémentaires au Sahel. Pour amorcer cette dynamique, 220 militaires viendront renforcer les troupes de Barkhane déjà engagées sur le terrain. Tous les pays partenaires qui le souhaitent sont les bienvenus.",fr,[]
1429,emmanuelmacron,2020-01-13,La présence de la France au Sahel n’a qu’un seul intérêt : la lutte contre le terrorisme.  https://t.co/8tpuqYSwUm,fr,[]
1433,emmanuelmacron,2020-01-13,EN DIRECT | Conférence de presse à l’issue du Sommet de Pau sur notre engagement militaire dans la lutte contre le djihadisme au Sahel.  https://t.co/z4S0BQWfNU,fr,[]
1428,emmanuelmacron,2020-01-14,"Entre le catastrophisme de certains et l’immobilisme d’autres, nous devons suivre une 3ᵉ voie : regarder le problème écologique en face et changer nos comportements.  https://t.co/RtWfOlUJoo",fr,[]
1427,emmanuelmacron,2020-01-16,EN DIRECT I Vœux aux armées depuis la base aérienne 123 d’Orléans-Bricy.  https://t.co/nWaEAmgfdy,fr,[]
1425,emmanuelmacron,2020-01-16,"Au Proche et Moyen-Orient, malgré les mutations de la région, nos forces engagées dans l’opération Chammal poursuivent les opérations de lutte contre Daech dont le califat territorial n’existe plus mais dont la menace pèse toujours, sous une autre forme, larvée, plus insidieuse.",fr,[]
1424,emmanuelmacron,2020-01-16,"Dans la péninsule arabique et dans le Golfe arabo-persique, nous avons déployé en un temps record la Task force Jaguar, et par les initiatives avec nos partenaires européens, nous renforçons la sécurité maritime dans cette région si stratégique pour nous.",fr,[]
1423,emmanuelmacron,2020-01-16,Le groupe aéronaval viendra soutenir l’opération Chammal de janvier à avril 2020 avant de se déployer en Atlantique et en mer du Nord. De nombreux pays européens participeront à l’escorte du Charles de Gaulle au cours de sa mission.,fr,[]
1426,emmanuelmacron,2020-01-16,"La menace augmente. L'actualité des dernières semaines ne fait que le confirmer. La sécurité de la Nation, son avenir, sont en jeu. Je resterai ferme sur mon engagement : l’objectif reste de porter l’effort de défense à 2% du PIB en 2025.  https://t.co/eQQinz6W3c",fr,[]
1422,emmanuelmacron,2020-01-20,Les résultats des réformes engagées depuis le début du quinquennat sont là : en deux ans et demi on a créé plus de 500 000 emplois.  https://t.co/N7eRtKUDte,fr,[]
1421,emmanuelmacron,2020-01-20,"Durant 12 ans, on a détruit des emplois dans l’industrie. Depuis 8 mois, on en recrée.",fr,[]
1420,emmanuelmacron,2020-01-20,Excellente discussion avec @realDonaldTrump sur la fiscalité du numérique. Nous allons travailler ensemble sur un bon accord pour éviter toute escalade des tarifs.,fr,[]
1417,emmanuelmacron,2020-01-21,"Faire croître les PME pour qu’elles deviennent des ETI, les ETI pour qu’elles deviennent des grands groupes. C’est la bonne stratégie. Et pour cela, j’ai besoin de vous.",fr,[]
1418,emmanuelmacron,2020-01-21,"La France réussira si elle agit ""en même temps"", d’un bloc. Réconcilier territoires, énergies et ambitions, réconcilier l’économique et le social, le productif et l’environnemental.  https://t.co/PBATQSu7dj",fr,[]
1414,emmanuelmacron,2020-01-22,"Ici vivent les trois grandes religions du Livre, ensemble, à travers des lieux qui ont marqué leur propre Histoire. Le rôle de la France, par la laïcité, c'est de dire que reconnaître la part de chacun avec calme, respect, c'est un pas vers la capacité à vivre ensemble, en paix.  https://t.co/rycm52OFAY",fr,[]
1416,emmanuelmacron,2020-01-22,L'ombre noire de l'antisémitisme renaît.  https://t.co/dqDLqFHisK,fr,[]
1415,emmanuelmacron,2020-01-22,"Dans cette région bousculée par les divisions, la place des chrétiens d'Orient est importante. Là où ils sont menacés, la vocation de la France est de les aider. Nous allons lancer un fond pour accompagner les écoles qui forment 400 000 jeunes à travers toute la région.",fr,[]
1413,emmanuelmacron,2020-01-23,"EN DIRECT | Commémoration du 75e anniversaire de libération du camp de concentration d’Auschwitz-Bikernau, depuis Jérusalem.  https://t.co/Wh93BVdaTD",fr,[]
1412,emmanuelmacron,2020-01-23,"Sur l'assassinat de Sarah Halimi, le Président de la République n'a pas à remettre en cause une décision de justice. J'ai entendu votre colère, votre émoi. La question de la responsabilité pénale est celle des juges, la question de l'antisémitisme, celle de la République.",fr,[]
1411,emmanuelmacron,2020-01-23,"L’antisémitisme n’est pas seulement le problème des Juifs. C’est d’abord le problème des autres. Nous ne laisserons pas faire. La promesse de la France est bien une promesse de souvenir et d'action. Zakhor, Al Tichkah. Souviens-toi, n'oublie jamais.  https://t.co/gSzBo5z65z",fr,[]
1410,emmanuelmacron,2020-01-23,L'Europe doit se tenir unie. Ne jamais oublier. Ne jamais se diviser. C'est aussi cela notre enseignement. #WorldHolocaustForum,fr,['worldholocaustforum']
1409,emmanuelmacron,2020-01-24,Échange constructif avec @jguaido réélu à la présidence de l’@AsambleaVE.  https://t.co/p0O0HOWCZt,fr,[]
1408,emmanuelmacron,2020-01-24,La France soutient l’organisation rapide d’une élection présidentielle libre et transparente. Nous respectons la souveraineté et la liberté du peuple vénézuélien et nous restons à ses côtés face à la crise humanitaire qu’il subit.,fr,[]
1406,emmanuelmacron,2020-01-25,"À toutes celles et ceux qui, en France et partout dans le monde, célèbrent le Nouvel An lunaire, je transmets tous mes vœux.",fr,[]
1407,emmanuelmacron,2020-01-25,La France se tient aux côtés de la Turquie face au séisme survenu hier. Mes pensées vont aux victimes et à leurs proches. Nous sommes solidaires et prêts à apporter notre soutien.,fr,[]
1404,emmanuelmacron,2020-01-26,"Trente ans après, nous ne sommes pas au bout du chemin : ces droits ne sont pas respectés partout et l’enfance fait aujourd’hui face à de nouvelles menaces. Notre premier combat est celui de l’éducation et de la petite enfance.",fr,[]
1403,emmanuelmacron,2020-01-26,"Les 1000 premiers jours de l’enfant sont décisifs. Pour mieux les accompagner, la commission d’experts rendra ses conclusions en avril. Votre avis compte :  https://t.co/MSrC69D2FM  https://t.co/wYDYYE0fI4",fr,[]
1402,emmanuelmacron,2020-01-27,"L’émotion, l’honneur d'avoir été parmi vous, témoins, passeurs de mémoire ce matin devant le mur des noms du @Shoah_Memorial se mêle ce jour aux images d’horreur sur lesquelles le monde a ouvert les yeux il y a 75 ans jour pour jour.  https://t.co/36LX4KOqFR",fr,[]
1401,emmanuelmacron,2020-01-27,"J’appelle à ce que chacune et chacun apporte au Mémorial de la Shoah ses archives. Que ces carnets qui paraissent innocents, ces lettres retrouvées, soient à chaque fois vus comme des traces indispensables, qui aideront à poursuivre le travail des historiens et de la mémoire.  https://t.co/4j808EWaL9",fr,[]
1400,emmanuelmacron,2020-01-27,"Aujourd’hui encore, parce qu’ils sont nés juifs, des femmes, des hommes, des enfants sont insultés, méprisés, frappés, parfois tués.  https://t.co/UoDF1djsoJ",fr,[]
1399,emmanuelmacron,2020-01-27,Ne rien céder à l’antisémitisme qui revient.  https://t.co/cxq0xAm6SV,fr,[]
1398,emmanuelmacron,2020-01-29,"La Grèce et la France sont liées par une même vision stratégique, géopolitique de l'Europe et de la Méditerranée, dont la stabilité et la sécurité ont toujours déterminé celles de l’Europe toute entière. Avec @kmitsotakis, nous allons renforcer nos initiatives communes.  https://t.co/eQ9UUut0gp",fr,[]
1396,emmanuelmacron,2020-01-30,Réconcilier industrie et écologie.  https://t.co/jFOgPB2p7U,fr,[]
1397,emmanuelmacron,2020-01-30,"EN DIRECT | Avec les salariés de l’usine Saft, à Nersac, une entreprise qui a fait le choix de la France, de l’Europe, et de la transition écologique.  https://t.co/FyC7X5TtyX",fr,[]
1395,emmanuelmacron,2020-01-31,"À minuit, pour la première fois en 70 ans, un pays quittera l’Union européenne. C'est un signal d'alarme historique qui doit retentir dans chacun de nos pays. Message sur le Brexit :  https://t.co/JdUn8rhuCp",fr,[]
1385,emmanuelmacron,2020-01-31,"Face au choc du Brexit, l’Europe doit être plus forte et rester unie dans la négociation qui s’engage. Pour défendre les intérêts des Français et des Européens.",fr,[]
1386,emmanuelmacron,2020-01-31,"C’est un jour triste. Mais c'est un jour qui doit nous conduire à procéder différemment, à bâtir une Union européenne puissante, efficace, qui parvienne à vous convaincre davantage et à retrouver le fil de cette histoire qui fait de l’Europe une aventure unique et irremplaçable.",fr,[]
1387,emmanuelmacron,2020-01-31,"Entre la France et le Royaume-Uni, c’est une histoire longue faite de sang, de liberté, de courage et de combats que nous avons en partage. Les Français savent ce qu’ils doivent au peuple britannique, nous ne l’oublierons pas. Notre relation continuera à être forte.",fr,[]
1388,emmanuelmacron,2020-01-31,"On ne peut pas être à la fois dedans et dehors. Le peuple britannique a choisi de quitter l'Union européenne. Il n'aura plus les mêmes devoirs, il n'aura donc plus les mêmes droits.",fr,[]
