,username,date,tweet,language,hashtags
1271,narendramodi,2020-01-01,Great work by our young students.  Such efforts will increase awareness on reducing single use plastic.,en,[]
1272,narendramodi,2020-01-01,Very good!  Have a wonderful 2020 and keep discovering different parts of #IncredibleIndia.,en,['incredibleindia']
1273,narendramodi,2020-01-01,Excellent!   Continue this momentum in 2020.  Also urge others to travel to 15 places across India.,en,[]
1274,narendramodi,2020-01-01,Happy to know.  Please thank your Mother on my behalf.,en,[]
1275,narendramodi,2020-01-01,Birthday wishes to the hardworking CM of Manipur Shri @NBirenSingh Ji. He has been energetically serving Manipur and fulfilling dreams of the state’s youth. May he lead a long and healthy life.,en,[]
1270,narendramodi,2020-01-01,Done so. Have a great year ahead :),en,[]
1277,narendramodi,2020-01-01,"On 15th August 2019, from the ramparts of the Red Fort, I announced that India will have a Chief of Defence Staff. This institution carries tremendous responsibility of modernizing our military forces. It would also reflect the hopes and aspirations of 1.3 billion Indians.",en,[]
1276,narendramodi,2020-01-01,Creation of the Department of Military Affairs with requisite military expertise and institutionalisation of the post of CDS is a momentous and comprehensive reform that will help our country face the ever-changing challenges of modern warfare.,en,[]
1279,narendramodi,2020-01-01,"I am delighted that as we begin the new year and new decade, India gets its first Chief of Defence Staff in General Bipin Rawat. I congratulate him and wish him the very best for this responsibility. He is an outstanding officer who has served India with great zeal.",en,[]
1278,narendramodi,2020-01-01,"As the first CDS takes charge, I pay homage to all those who have served and laid down their lives for our nation. I recall the valiant personnel who fought in Kargil, after which many discussions on reforming our military began, leading to today’s historic development.",en,[]
1254,narendramodi,2020-01-02,DRDO has many bright minds associated with it.   An organisation like DRDO can make rich contributions to the global security apparatus.  https://t.co/yc6THka7JY,en,[]
1255,narendramodi,2020-01-02,"Furthering innovation among youngsters.   In Bengaluru, I had the honour of dedicating to the nation five labs for our young scientists.   Located in different parts of India, these labs will have a very positive impact as far as improving research in science is concerned.  https://t.co/HfzqRyRTSr",en,[]
1256,narendramodi,2020-01-02,Our Government has taken a series of steps towards a vibrant fisheries sector.  https://t.co/hqptoxDk9U,en,[]
1257,narendramodi,2020-01-02,The NDA Government is fortunate to have been able to take numerous decisions for farmer welfare.  https://t.co/2M0rLjfgrY,en,[]
1258,narendramodi,2020-01-02,Today is a very special day!   The number of beneficiaries of PM-Kisan Yojana crossed the 8 crore mark.   This initiative is dedicated to the empowerment of our industrious farmers.  https://t.co/aLU5PYGbE5,en,[]
1259,narendramodi,2020-01-02,My three requests to citizens:  Focus on Fundamental Duties in addition to the Rights as enshrined in our Constitution.   Conservation of the environment.   Spread awareness and work towards water conservation.  https://t.co/RQSvh79ZiZ,en,[]
1260,narendramodi,2020-01-02,"CAA manifests India’s ethos of harmony and compassion.   Sadly, the vested interest groups opposing the Act are now protesting against India’s Parliament.  https://t.co/P0cLCLN34T",en,[]
1261,narendramodi,2020-01-02,Laid the foundation stone for a grand museum in honour of His Holiness Dr. Sree Sree Sree Sivakumara Swamigalu who lives on in the hearts and minds of countless people.  https://t.co/I0hZExUlR9,en,[]
1264,narendramodi,2020-01-02,"It was an honour to have visited the Sree Siddaganga Mutt in Tumakuru. Over the last several years, this Mutt has made a mark for its exceptional service. Their work towards educating and empowering the poor is noteworthy.  https://t.co/TulxeDVXsy",en,[]
1265,narendramodi,2020-01-02,I thank my sisters and bothers of Tumakuru for the warm welcome.  https://t.co/fBF4LBvgy8,en,[]
1266,narendramodi,2020-01-02,Addressing a programme at DRDO in Bengaluru. Watch.  https://t.co/vTSJDXTkSg,en,[]
1267,narendramodi,2020-01-02,Addressing a public meeting in Tumakuru.  https://t.co/vBIUGp0cDg,en,[]
1268,narendramodi,2020-01-02,Feeling blessed to be at the Sree Siddaganga Mutt. Watch.  https://t.co/HOKtC4Ih48,en,[]
1248,narendramodi,2020-01-03,"Sectors where the application of science, technology and innovation will lead to transformative outcomes:  Agriculture.   Healthcare, especially boosting @makeinindia.   Water conservation.  https://t.co/ZbLHjSSqda",en,[]
1249,narendramodi,2020-01-03,Invigorating governance with latest technology has numerous benefits.  https://t.co/30475jrNRL,en,[]
1252,narendramodi,2020-01-03,Addressing the Indian Science Congress in Bengaluru.  https://t.co/6w9yw8jrpU,en,[]
1251,narendramodi,2020-01-03,A roadmap for India’s bright young scientists.   Innovate.  Patent.  Produce.  Prosper.  https://t.co/j2PwuWn4Wf,en,[]
1250,narendramodi,2020-01-03,"At the core of our vision for New India is technology and logical temperament, which will add strength to our growth trajectory.  https://t.co/T3ozxIYQwQ",en,[]
1247,narendramodi,2020-01-04,"Today, we mark World Braille Day and reiterate our commitment towards ensuring enhanced communication mechanisms for the blind and partially sighted.   I am also delighted to share that @examwarriors is now available in Braille!   Happy studying. 👍",en,[]
1246,narendramodi,2020-01-05,"Greetings to Dr. Murli Manohar Joshi Ji on his birthday. Joshi Ji has made an indelible contribution to our country during his long years in politics, Parliament and as a Minister. He is unwavering when it comes to safeguarding national interests and furthering national progress.",en,[]
1245,narendramodi,2020-01-05,"I consider myself fortunate to have got the opportunity to work with Dr. Joshi for many years. Like me, several Karyakartas learnt so much from him. His role in strengthening the Party is extremely valuable. I pray for Dr. Joshi’s long and healthy life.",en,[]
1244,narendramodi,2020-01-05,Called on Dr. Murli Manohar Joshi Ji and greeted him on his birthday.  https://t.co/QbsdpLfxDM,en,[]
